pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8v2e	D	E	0	F	protein	NA	10e8 epitope scaffold b055	IMMUNE SYSTEM	06/12/24	Crystal structure of B055 scaffold boost immunogen in complex with a mature 10E8 Fab	Homo sapiens; synthetic construct	homo sapiens	homo sapiens	synthetic construct	Cho, S.Y., Wilson, I.A.	2.62	X-RAY DIFFRACTION	0.276	0.228	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
8g8c	H	L	0	C	peptide	NA	env polyprotein	IMMUNE SYSTEM	05/22/24	Crystal structure of DH1322.1 Fab in complex with HIV proximal MPER peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Niyongabo, A., Janus, B.M., Ofek, G.	2.08	X-RAY DIFFRACTION	0.229	0.199	False	True	IGHV7	IGKV3	Kappa	None	None	None	None	None
8g8c	A	B	0	P	peptide	NA	env polyprotein	IMMUNE SYSTEM	05/22/24	Crystal structure of DH1322.1 Fab in complex with HIV proximal MPER peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Niyongabo, A., Janus, B.M., Ofek, G.	2.08	X-RAY DIFFRACTION	0.229	0.199	False	True	IGHV7	IGKV3	Kappa	None	None	None	None	None
8fdo	A	B	0	C	protein	NA	fp15	IMMUNE SYSTEM	10/11/23	SARS-CoV-2 fusion peptide epitope scaffold FP15 bound to DH1058	Escherichia coli; Homo sapiens	homo sapiens	homo sapiens	escherichia coli	Kapingidza, A.B., Marston, D.J., Wrapp, D., Winters, K., Azoitei, M.L.	2.2	X-RAY DIFFRACTION	0.229	0.189	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4p9m	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/04/14	Crystal structure of 8ANC195 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Scharf, L., Bjorkman, P.J.	2.13	X-RAY DIFFRACTION	0.239	0.211	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
3tv3	H	L	0	A	carbohydrate	MAN	ALPHA-D-MANNOSE	IMMUNE SYSTEM	09/19/11	Crystal structure of broad and potent HIV-1 neutralizing antibody PGT128 in complex with Man9	HOMO SAPIENS	homo sapiens	homo sapiens		Pejchal, R., Wilson, I.A.	1.29	X-RAY DIFFRACTION	0.184	0.159	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
4jm4	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/13/13	Crystal Structure of PGT 135 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Kong, L., Wilson, I.A.	1.751	X-RAY DIFFRACTION	0.245	0.207	False	True	IGHV4	IGKV3	Kappa	None	None	None	None	None
7ttx	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	02/02/22	Crystal structure of potent neutralizing antibody 10-40 in complex with Sarbecovirus bat RaGT13 receptor-binding domain	BAT CORONAVIRUS RATG13; HOMO SAPIENS	homo sapiens	homo sapiens	bat coronavirus ratg13	Reddem, E.R., Shapiro, L.	2.8	X-RAY DIFFRACTION	0.321	0.222	False	True	IGHV4	IGLV6	Lambda	None	None	None	None	None
5vvf	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/19/17	Crystal Structure of 354BG1 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Scharf, L., Gristick, H.B., Bjorkman, P.J.	2.0	X-RAY DIFFRACTION	0.247	0.210	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
9ml8	E	F	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/04/25	Crystal structure of the SARS-CoV-2 RBD in complex with the rabbit M8b-B1 Fab	Oryctolagus cuniculus; Severe acute respiratory syndrome coronavirus 2	oryctolagus cuniculus	oryctolagus cuniculus	severe acute respiratory syndrome coronavirus2 	Fan, C., Bjorkman, P.J.	2.4	X-RAY DIFFRACTION	0.247	0.223	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9ml8	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/04/25	Crystal structure of the SARS-CoV-2 RBD in complex with the rabbit M8b-B1 Fab	Oryctolagus cuniculus; Severe acute respiratory syndrome coronavirus 2	oryctolagus cuniculus	oryctolagus cuniculus	severe acute respiratory syndrome coronavirus2 	Fan, C., Bjorkman, P.J.	2.4	X-RAY DIFFRACTION	0.247	0.223	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9ml8	M	N	0	C	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/04/25	Crystal structure of the SARS-CoV-2 RBD in complex with the rabbit M8b-B1 Fab	Oryctolagus cuniculus; Severe acute respiratory syndrome coronavirus 2	oryctolagus cuniculus	oryctolagus cuniculus	severe acute respiratory syndrome coronavirus2 	Fan, C., Bjorkman, P.J.	2.4	X-RAY DIFFRACTION	0.247	0.223	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
9ml8	P	Q	0	D	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	06/04/25	Crystal structure of the SARS-CoV-2 RBD in complex with the rabbit M8b-B1 Fab	Oryctolagus cuniculus; Severe acute respiratory syndrome coronavirus 2	oryctolagus cuniculus	oryctolagus cuniculus	severe acute respiratory syndrome coronavirus2 	Fan, C., Bjorkman, P.J.	2.4	X-RAY DIFFRACTION	0.247	0.223	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8vte	B	A	0	E	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	05/28/25	Co-structure of the Fab of the anti-TIGIT Vibostolimab antibody with its antigen	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Fischmann, T., Bahmanjah, S.	2.29	X-RAY DIFFRACTION	0.268	0.229	False	True	IGHV6	IGKV4	Kappa	None	None	None	None	None
8vte	D	C	0	F	protein	NA	t-cell immunoreceptor with ig and itim domains	IMMUNE SYSTEM	05/28/25	Co-structure of the Fab of the anti-TIGIT Vibostolimab antibody with its antigen	Homo sapiens; Mus musculus	mus musculus	mus musculus	homo sapiens	Fischmann, T., Bahmanjah, S.	2.29	X-RAY DIFFRACTION	0.268	0.229	False	True	IGHV6	IGKV4	Kappa	None	None	None	None	None
8t1g	G	I	0	D | C	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	IMMUNE SYSTEM/VIRAL PROTEIN	05/29/24	The crystal structure of hemagglutinin form a h7n9 influenza virus (a/shanghai/1/2013) in complex with antibody 1E11	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Zhou, T., Kwong, P.D.	3.5	X-RAY DIFFRACTION	0.215	0.182	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
8t1g	H	L	0	F | E	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	IMMUNE SYSTEM/VIRAL PROTEIN	05/29/24	The crystal structure of hemagglutinin form a h7n9 influenza virus (a/shanghai/1/2013) in complex with antibody 1E11	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Zhou, T., Kwong, P.D.	3.5	X-RAY DIFFRACTION	0.215	0.182	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
8t1g	J	K	0	B | A	protein | protein	NA | NA	hemagglutinin ha2 | hemagglutinin ha1	IMMUNE SYSTEM/VIRAL PROTEIN	05/29/24	The crystal structure of hemagglutinin form a h7n9 influenza virus (a/shanghai/1/2013) in complex with antibody 1E11	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus | influenza a virus	Zhou, T., Kwong, P.D.	3.5	X-RAY DIFFRACTION	0.215	0.182	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
8hrd	O	P	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
8hrd	D	F	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8hrd	C	E	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
8hrd	G	H	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8hrd	L	M	0	K	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
8hrd	N	Q	0	K	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
8hrd	W	X	0	T	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV5	IGLV1	Lambda	None	None	None	None	None
8hrd	Y	Z	0	T	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	12/20/23	Crystal structure of the receptor binding domain of SARS-CoV-2 Delta variant in complex with IMCAS74 Fab and W14 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhao, R.C., Wu, L.L., Han, P.	2.86	X-RAY DIFFRACTION	0.244	0.212	False	True	IGHV4	IGKV1	Kappa	None	None	None	None	None
6q18	H	L	0	A	protein	NA	hemagglutinin	IMMUNE SYSTEM	08/03/19	Human antibody H1244 in complex with the influenza hemagglutinin head domain of A/Beijing/262/95(H1N1)	INFLUENZA A VIRUS (A/BEIJING/262/1995(H1N1)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/beijing/262/1995(h1n1))	McCarthy, K.R., Harrison, S.C.	2.55	X-RAY DIFFRACTION	0.243	0.206	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
6oor	H	L	0	A	protein	NA	antigen-presenting glycoprotein cd1d1	IMMUNE SYSTEM	04/23/19	Structure of 1B1 bound to mouse CD1d	MUS MUSCULUS; RATTUS NORVEGICUS	rattus norvegicus	rattus norvegicus	mus musculus	Ying, G., Zajonc, D.M.	2.45	X-RAY DIFFRACTION	0.244	0.208	False	True	IGHV5	IGKV9	Kappa	None	None	None	None	None
4ydv	H	L	0	P	peptide	NA	hiv gp41 peptide gp41(596-606)	IMMUNE SYSTEM	02/23/15	STRUCTURE OF THE ANTIBODY 7B2 THAT CAPTURES HIV-1 VIRIONS	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Nicely, N.I., Pemble IV, C.W.	2.7	X-RAY DIFFRACTION	0.223	0.189	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
4ydv	B	A	0	Q	peptide	NA	hiv gp41 peptide gp41(596-606)	IMMUNE SYSTEM	02/23/15	STRUCTURE OF THE ANTIBODY 7B2 THAT CAPTURES HIV-1 VIRIONS	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Nicely, N.I., Pemble IV, C.W.	2.7	X-RAY DIFFRACTION	0.223	0.189	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
6db7	I	M	0	Q	peptide	NA	hiv-1 gp120 v3 peptide from mn strain	IMMUNE SYSTEM	05/02/18	Crystal structure of anti-HIV-1 V3 Fab 1334 in complex with a HIV-1 gp120 V3 peptide from MN strain	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Chan, K.-W., Kong, X.-P.	2.213	X-RAY DIFFRACTION	0.260	0.213	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
6db7	H	L	0	P	peptide	NA	hiv-1 gp120 v3 peptide from mn strain	IMMUNE SYSTEM	05/02/18	Crystal structure of anti-HIV-1 V3 Fab 1334 in complex with a HIV-1 gp120 V3 peptide from MN strain	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	human immunodeficiency virus 1	Chan, K.-W., Kong, X.-P.	2.213	X-RAY DIFFRACTION	0.260	0.213	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
4rnr	C	D	0	D	carbohydrate	NAG	N-ACETYL-D-GLUCOSAMINE	IMMUNE SYSTEM	10/24/14	Crystal structure of broadly neutralizing anti-HIV antibody PGT130	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kong, L., Wilson, I.A.	2.758	X-RAY DIFFRACTION	0.269	0.244	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
4rnr	A	B	0	B	carbohydrate	NAG	N-ACETYL-D-GLUCOSAMINE	IMMUNE SYSTEM	10/24/14	Crystal structure of broadly neutralizing anti-HIV antibody PGT130	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kong, L., Wilson, I.A.	2.758	X-RAY DIFFRACTION	0.269	0.244	False	True	IGHV4	IGLV2	Lambda	None	None	None	None	None
6ncp	C	D	0	E	peptide	NA	hiv-1 fusion peptide (residues 512-520)	IMMUNE SYSTEM	12/11/18	Crystal structure of HIV-1 broadly neutralizing antibody ACS202	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Yuan, M., Wilson, I.A.	2.76	X-RAY DIFFRACTION	0.256	0.222	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6ncp	A	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/11/18	Crystal structure of HIV-1 broadly neutralizing antibody ACS202	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Yuan, M., Wilson, I.A.	2.76	X-RAY DIFFRACTION	0.256	0.222	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
6wit	H	L	0	I	protein	NA	16055 v1v2 1fd6 scaffold	ANTIVIRAL PROTEIN/IMMUNE SYSTEM	04/10/20	Crystal structure of NHP D15.SD7 Fab in complex with 16055 V1V2 1FD6 scaffold	MACACA MULATTA; HOMO SAPIENS	macaca mulatta	macaca mulatta	homo sapiens	Liban, T., Aljedani, S., Rodarte, J., Pancera, M.	2.79	X-RAY DIFFRACTION	0.284	0.224	False	True	IGHV1	IGLV6	Lambda	None	None	None	None	None
6wit	A	B	0	C	protein	NA	16055 v1v2 1fd6 scaffold	ANTIVIRAL PROTEIN/IMMUNE SYSTEM	04/10/20	Crystal structure of NHP D15.SD7 Fab in complex with 16055 V1V2 1FD6 scaffold	MACACA MULATTA; HOMO SAPIENS	macaca mulatta	macaca mulatta	homo sapiens	Liban, T., Aljedani, S., Rodarte, J., Pancera, M.	2.79	X-RAY DIFFRACTION	0.284	0.224	False	True	IGHV1	IGLV6	Lambda	None	None	None	None	None
4ye4	H	L	0	G	protein	NA	ht593.1 gp120	Viral protein/Immune system	02/23/15	Crystal Structure of Neutralizing Antibody HJ16 in Complex with HIV-1 gp120	HUMAN IMMUNODEFICIENCY VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus	Kwong, P.D., Chen, L., Zhou, T.	2.72	X-RAY DIFFRACTION	0.242	0.187	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
9d7y	A	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/06/24	Crystal structure of scFv corresponding to human autoantibody b96.11	Homo sapiens	homo sapiens			Buckle, A.M., McGowan, S.	2.6	X-RAY DIFFRACTION	0.301	0.227	True	True	unknown	unknown	unknown	None	None	None	None	None
9d7y	B	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/06/24	Crystal structure of scFv corresponding to human autoantibody b96.11	Homo sapiens	homo sapiens			Buckle, A.M., McGowan, S.	2.6	X-RAY DIFFRACTION	0.301	0.227	True	True	unknown	unknown	unknown	None	None	None	None	None
9d7y	C	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/06/24	Crystal structure of scFv corresponding to human autoantibody b96.11	Homo sapiens	homo sapiens			Buckle, A.M., McGowan, S.	2.6	X-RAY DIFFRACTION	0.301	0.227	True	True	unknown	unknown	unknown	None	None	None	None	None
8u31	C	B	0	A	protein	NA	programmed cell death protein 1	STRUCTURAL PROTEIN/IMMUNE SYSTEM	06/19/24	Crystal structure of PD-1 in complex with a Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Sun, D., Masureel, M.	2.73	X-RAY DIFFRACTION	0.238	0.199	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8d47	H	L	0	C	peptide	NA	sars-cov-2 fusion peptide	ANTIVIRAL PROTEIN	12/21/22	fp.006 Fab in complex with SARS-CoV-2 Fusion Peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Abernathy, M.E., Barnes, C.O.	2	X-RAY DIFFRACTION	0.238	0.184	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
8d47	B	A	0	D	peptide	NA	sars-cov-2 fusion peptide	ANTIVIRAL PROTEIN	12/21/22	fp.006 Fab in complex with SARS-CoV-2 Fusion Peptide	Homo sapiens; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Abernathy, M.E., Barnes, C.O.	2	X-RAY DIFFRACTION	0.238	0.184	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
2qhr	H	L	0	P	peptide	NA	envelope glycoprotein peptide	Immune system/viral protein	07/02/07	Crystal structure of the 13F6-1-2 Fab fragment bound to its Ebola virus glycoprotein peptide epitope.	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus		Lee, J.E., Kuehne, A., Abelson, D.M., Fusco, M.L., Hart, M.K., Saphire, E.O.	2.0	X-RAY DIFFRACTION	0.245	0.203	False	False	IGHV5	IGLV3	Lambda	4.10E-08	-10.07	SPR	25	18005986
6bf4	B	C	0	A	protein	NA	hiv-1 clade ae gp120 core	viral protein/immune system	10/25/17	Crystal Structure of HIV-1 Clade AE Strain CNE55 gp120 Core in Complex with Neutralizing Antibody VRC-PG05 that Targets the Center of the Silent Face on the Outer Domain of gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.382	X-RAY DIFFRACTION	0.228	0.192	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
6bf4	H	L	0	G	protein	NA	hiv-1 clade ae gp120 core	viral protein/immune system	10/25/17	Crystal Structure of HIV-1 Clade AE Strain CNE55 gp120 Core in Complex with Neutralizing Antibody VRC-PG05 that Targets the Center of the Silent Face on the Outer Domain of gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Kwong, P.D.	2.382	X-RAY DIFFRACTION	0.228	0.192	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
2orb	I	M	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/02/07	The structure of the anti-c-myc antibody 9E10 Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Krauss, N., Scheerer, P., Hoehne, W.	2.2	X-RAY DIFFRACTION	0.317	0.261	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
2orb	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	02/02/07	The structure of the anti-c-myc antibody 9E10 Fab fragment	MUS MUSCULUS	mus musculus	mus musculus		Krauss, N., Scheerer, P., Hoehne, W.	2.2	X-RAY DIFFRACTION	0.317	0.261	False	False	IGHV5	IGKV3	Kappa	None	None	None	None	None
3lzf	H	L	0	A	protein	NA	hemagglutinin, ha1 subunit	VIRAL PROTEIN/IMMUNE SYSTEM	03/01/10	Crystal Structure of Fab 2D1 in Complex with the 1918 Influenza Virus Hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	2.8	X-RAY DIFFRACTION	0.259	0.230	False	True	IGHV2	IGLV1	Lambda	None	None	None	None	None
6mqc	A	B	0	D	peptide	NA	hiv fusion peptide residue 512-519	IMMUNE SYSTEM	10/09/18	Vaccine-elicited NHP FP-targeting neutralizing antibody 0PV-c.01 in complex with FP (residue 512-519)	PLATYRRHINI; SYNTHETIC CONSTRUCT	platyrrhini	platyrrhini	human immunodeficiency virus 1	Xu, K., Wang, Y., Kwong, P.D.	1.99	X-RAY DIFFRACTION	0.234	0.199	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
6mqc	H	L	0	C	peptide	NA	hiv fusion peptide residue 512-519	IMMUNE SYSTEM	10/09/18	Vaccine-elicited NHP FP-targeting neutralizing antibody 0PV-c.01 in complex with FP (residue 512-519)	PLATYRRHINI; SYNTHETIC CONSTRUCT	platyrrhini	platyrrhini	human immunodeficiency virus 1	Xu, K., Wang, Y., Kwong, P.D.	1.99	X-RAY DIFFRACTION	0.234	0.199	False	True	IGHV4	IGKV2	Kappa	None	None	None	None	None
6uum	H	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/30/19	Crystal structure of antibody 438-B11 DSS mutant (Cys98A-Cys100aA)	HOMO SAPIENS	homo sapiens	homo sapiens		Kumar, S., Wilson, I.A.	2.1	X-RAY DIFFRACTION	0.269	0.229	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
6uum	B	A	0	A	carbohydrate	NAG	N-ACETYL-D-GLUCOSAMINE	IMMUNE SYSTEM	10/30/19	Crystal structure of antibody 438-B11 DSS mutant (Cys98A-Cys100aA)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kumar, S., Wilson, I.A.	2.1	X-RAY DIFFRACTION	0.269	0.229	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
6fy3	H	L	0	P	peptide	NA	cap45 v2 peptide	IMMUNE SYSTEM	03/10/18	Crystal structure of a V2-directed, RV144 vaccine-like antibody from HIV-1 infection, CAP228-3D, bound to a heterologous V2 peptide	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Wibmer, C.K., Moore, P.L., Morris, L.	2.6	X-RAY DIFFRACTION	0.250	0.220	False	True	IGHV5	IGLV6	Lambda	None	None	None	None	None
6fy3	X	Y	0	Z	peptide	NA	cap45 v2 peptide	IMMUNE SYSTEM	03/10/18	Crystal structure of a V2-directed, RV144 vaccine-like antibody from HIV-1 infection, CAP228-3D, bound to a heterologous V2 peptide	HOMO SAPIENS; HUMAN IMMUNODEFICIENCY VIRUS 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Wibmer, C.K., Moore, P.L., Morris, L.	2.6	X-RAY DIFFRACTION	0.250	0.220	False	True	IGHV5	IGLV6	Lambda	None	None	None	None	None
3q6f	H	G	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/31/10	Crystal structure of Fab of human mAb 2909 specific for quaternary neutralizing epitope of HIV-1 gp120	HOMO SAPIENS	homo sapiens	homo sapiens		Spurrier, B., Sampson, J., Totrov, M., Li, H., O'Neal, T., William, C., Robinson, J., Gorny, M.K., Zolla-Pazner, S., Kong, X.P.	3.192	X-RAY DIFFRACTION	0.243	0.199	False	False	IGHV3	IGLV3	Lambda	None	None	None	None	None
3q6f	F	E	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/31/10	Crystal structure of Fab of human mAb 2909 specific for quaternary neutralizing epitope of HIV-1 gp120	HOMO SAPIENS	homo sapiens	homo sapiens		Spurrier, B., Sampson, J., Totrov, M., Li, H., O'Neal, T., William, C., Robinson, J., Gorny, M.K., Zolla-Pazner, S., Kong, X.P.	3.192	X-RAY DIFFRACTION	0.243	0.199	False	False	IGHV3	IGLV3	Lambda	None	None	None	None	None
3q6f	D	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/31/10	Crystal structure of Fab of human mAb 2909 specific for quaternary neutralizing epitope of HIV-1 gp120	HOMO SAPIENS	homo sapiens	homo sapiens		Spurrier, B., Sampson, J., Totrov, M., Li, H., O'Neal, T., William, C., Robinson, J., Gorny, M.K., Zolla-Pazner, S., Kong, X.P.	3.192	X-RAY DIFFRACTION	0.243	0.199	False	False	IGHV3	IGLV3	Lambda	None	None	None	None	None
3q6f	B	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/31/10	Crystal structure of Fab of human mAb 2909 specific for quaternary neutralizing epitope of HIV-1 gp120	HOMO SAPIENS	homo sapiens	homo sapiens		Spurrier, B., Sampson, J., Totrov, M., Li, H., O'Neal, T., William, C., Robinson, J., Gorny, M.K., Zolla-Pazner, S., Kong, X.P.	3.192	X-RAY DIFFRACTION	0.243	0.199	False	False	IGHV3	IGLV3	Lambda	None	None	None	None	None
